window_start,Site,Ion,Concentration
1987-06-02,BQ2,nh4_ugl,70.66666666666667
1987-08-04,BQ2,k_mgl,0.8530769230769231
1987-08-04,BQ2,no3_ugl,231.3846153846154
1987-08-04,BQ2,mg_mgl,2.037692307692308
1987-08-04,BQ2,ca_mgl,4.03
1987-08-04,BQ2,nh4_ugl,32.84615384615385
1987-10-06,BQ2,k_mgl,0.856
1987-10-06,BQ2,no3_ugl,191
1987-10-06,BQ2,mg_mgl,2.0949999999999998
1987-10-06,BQ2,ca_mgl,4.21
1987-10-06,BQ2,nh4_ugl,12.1
1987-12-08,BQ2,k_mgl,0.8668421052631579
1987-12-08,BQ2,no3_ugl,253.86666666666667
1987-12-08,BQ2,mg_mgl,2.04
1987-12-08,BQ2,ca_mgl,4.324736842105263
1987-12-08,BQ2,nh4_ugl,18.36842105263158
1988-02-09,BQ2,k_mgl,0.7775
1988-02-09,BQ2,no3_ugl,185
1988-02-09,BQ2,mg_mgl,2.34625
1988-02-09,BQ2,ca_mgl,4.33875
1988-02-09,BQ2,nh4_ugl,18.857142857142858
1988-04-12,BQ2,k_mgl,0.807
1988-04-12,BQ2,no3_ugl,216.7
1988-04-12,BQ2,mg_mgl,2.187
1988-04-12,BQ2,ca_mgl,3.868
1988-04-12,BQ2,nh4_ugl,57.55555555555556
1988-06-14,BQ2,k_mgl,0.7545454545454545
1988-06-14,BQ2,no3_ugl,NA
1988-06-14,BQ2,mg_mgl,2.2381818181818183
1988-06-14,BQ2,ca_mgl,3.561818181818182
1988-06-14,BQ2,nh4_ugl,67.5
1988-08-16,BQ2,k_mgl,0.7761538461538462
1988-08-16,BQ2,no3_ugl,184.72727272727272
1988-08-16,BQ2,mg_mgl,2.0591666666666666
1988-08-16,BQ2,ca_mgl,3.805
1988-08-16,BQ2,nh4_ugl,26.25
1988-10-18,BQ2,k_mgl,0.8475
1988-10-18,BQ2,no3_ugl,224.125
1988-10-18,BQ2,mg_mgl,2.38125
1988-10-18,BQ2,ca_mgl,4.18625
1988-10-18,BQ2,nh4_ugl,61
1988-12-20,BQ2,k_mgl,0.9077777777777778
1988-12-20,BQ2,no3_ugl,219.11111111111111
1988-12-20,BQ2,mg_mgl,2.4833333333333334
1988-12-20,BQ2,ca_mgl,4.488888888888889
1988-12-20,BQ2,nh4_ugl,NA
1989-02-21,BQ2,k_mgl,0.8377777777777777
1989-02-21,BQ2,no3_ugl,224.9
1989-02-21,BQ2,mg_mgl,2.7688888888888887
1989-02-21,BQ2,ca_mgl,4.62
1989-02-21,BQ2,nh4_ugl,NA
1989-04-25,BQ2,k_mgl,0.9366666666666666
1989-04-25,BQ2,no3_ugl,174
1989-04-25,BQ2,mg_mgl,2.6755555555555555
1989-04-25,BQ2,ca_mgl,4.58
